id,startLat,startLong,startKm,endLat,endLong,endKm,name
1,42.22840,-71.52210,0,42.22876,-71.52038,0.147,"Main St, Hopkinton"
2,42.22876,-71.52038,0.147,42.22905,-71.51962,0.217,"Main St, Hopkinton"
3,42.22905,-71.51962,0.217,42.22953,-71.51853,0.323,"Main St, Hopkinton"
4,42.22953,-71.51853,0.323,42.22980,-71.51818,0.365,"Main St, Hopkinton"
5,42.22980,-71.51818,0.365,42.23058,-71.51737,0.475,"Main St, Hopkinton"
6,42.23058,-71.51737,0.475,42.23168,-71.51651,0.617,"Main St, Hopkinton"
7,42.23168,-71.51651,0.617,42.23196,-71.51603,0.667,"Main St, Hopkinton"
8,42.23196,-71.51603,0.667,42.23283,-71.51382,0.873,"Main St, Hopkinton"
9,42.23283,-71.51382,0.873,42.23348,-71.51194,1.044,"Main St, Hopkinton"
10,42.23348,-71.51194,1.044,42.23417,-71.51032,1.198,"Main St, Hopkinton"
11,42.23417,-71.51032,1.198,42.23475,-71.50899,1.325,"Main St, Hopkinton"
12,42.23475,-71.50899,1.325,42.23605,-71.50697,1.545,"Main St, Hopkinton"
13,42.23605,-71.50697,1.545,42.23627,-71.50629,1.606,"Main St, Hopkinton"
14,42.23627,-71.50629,1.606,42.23660,-71.50330,1.855,"Main St, Hopkinton"
15,42.23660,-71.50330,1.855,42.23633,-71.49995,2.133,"Main St, Hopkinton"
16,42.23633,-71.49995,2.133,42.23661,-71.49815,2.284,"Main St, Hopkinton"
17,42.23661,-71.49815,2.284,42.23778,-71.49339,2.697,"Main St, Hopkinton"
18,42.23778,-71.49339,2.697,42.23851,-71.49184,2.849,"Main St, Hopkinton"
19,42.23851,-71.49184,2.849,42.24013,-71.48863,3.169,"Main St, Hopkinton"
20,42.24013,-71.48863,3.169,42.24111,-71.48663,3.366,"Union St, Ashland"
21,42.24111,-71.48663,3.366,42.24283,-71.48289,3.728,"Union St, Ashland"
22,42.24283,-71.48289,3.728,42.24382,-71.48067,3.941,"Union St, Ashland"
23,42.24382,-71.48067,3.941,42.24438,-71.47945,4.059,"Union St, Ashland"
24,42.24438,-71.47945,4.059,42.24509,-71.47755,4.234,"Union St, Ashland"
25,42.24509,-71.47755,4.234,42.24554,-71.47662,4.325,"Union St, Ashland"
26,42.24554,-71.47662,4.325,42.24611,-71.47591,4.411,"Union St, Ashland"
27,42.24611,-71.47591,4.411,42.24695,-71.47509,4.526,"Union St, Ashland"
28,42.24695,-71.47509,4.526,42.24804,-71.47448,4.658,"Union St, Ashland"
29,42.24804,-71.47448,4.658,42.24902,-71.47355,4.791,"Union St, Ashland"
30,42.24902,-71.47355,4.791,42.24979,-71.47303,4.887,"Union St, Ashland"
31,42.24979,-71.47303,4.887,42.25114,-71.47204,5.058,"Union St, Ashland"
32,42.25114,-71.47204,5.058,42.25139,-71.47180,5.092,"Union St, Ashland"
33,42.25139,-71.47180,5.092,42.25304,-71.46975,5.341,"Union St, Ashland"
34,42.25304,-71.46975,5.341,42.25498,-71.46778,5.611,"Union St, Ashland"
35,42.25498,-71.46778,5.611,42.25539,-71.46714,5.681,"Union St, Ashland"
36,42.25539,-71.46714,5.681,42.25579,-71.46503,5.861,"Union St, Ashland"
37,42.25579,-71.46503,5.861,42.25674,-71.46170,6.155,"Union St, Ashland"
38,42.25674,-71.46170,6.155,42.25717,-71.46039,6.273,"Union St, Ashland"
39,42.25717,-71.46039,6.273,42.25773,-71.45860,6.433,"Union St, Ashland"
40,42.25773,-71.45860,6.433,42.25829,-71.45640,6.624,"Union St, Ashland"
41,42.25829,-71.45640,6.624,42.25876,-71.45393,6.834,"Union St, Ashland"
42,42.25876,-71.45393,6.834,42.25945,-71.45242,6.98,"Union St, Ashland"
43,42.25945,-71.45242,6.98,42.26043,-71.45091,7.145,"Waverly St, Ashland"
44,42.26043,-71.45091,7.145,42.26130,-71.44996,7.271,"Waverly St, Ashland"
45,42.26130,-71.44996,7.271,42.26212,-71.44955,7.367,"Waverly St, Ashland"
46,42.26212,-71.44955,7.367,42.26305,-71.44905,7.476,"Waverly St, Ashland"
47,42.26305,-71.44905,7.476,42.26465,-71.44735,7.704,"Waverly St, Ashland"
48,42.26465,-71.44735,7.704,42.26503,-71.44689,7.761,"Waverly St, Ashland"
49,42.26503,-71.44689,7.761,42.26658,-71.44597,7.949,"Waverly St, Ashland"
50,42.26658,-71.44597,7.949,42.26788,-71.44542,8.101,"Waverly St, Ashland"
51,42.26788,-71.44542,8.101,42.26916,-71.44495,8.249,"Waverly St, Framingham"
52,42.26916,-71.44495,8.249,42.27009,-71.44448,8.359,"Waverly St, Framingham"
53,42.27009,-71.44448,8.359,42.27145,-71.44327,8.54,"Waverly St, Framingham"
54,42.27145,-71.44327,8.54,42.27234,-71.44157,8.712,"Waverly St, Framingham"
55,42.27234,-71.44157,8.712,42.27316,-71.43986,8.88,"Waverly St, Framingham"
56,42.27316,-71.43986,8.88,42.27404,-71.43810,9.055,"Waverly St, Framingham"
57,42.27404,-71.43810,9.055,42.27425,-71.43702,9.148,"Waverly St, Framingham"
58,42.27425,-71.43702,9.148,42.27389,-71.43485,9.331,"Waverly St, Framingham"
59,42.27389,-71.43485,9.331,42.27350,-71.43274,9.509,"Waverly St, Framingham"
60,42.27350,-71.43274,9.509,42.27311,-71.43157,9.614,"Waverly St, Framingham"
61,42.27311,-71.43157,9.614,42.27244,-71.43034,9.739,"Waverly St, Framingham"
62,42.27244,-71.43034,9.739,42.27213,-71.42956,9.813,"Waverly St, Framingham"
63,42.27213,-71.42956,9.813,42.27221,-71.42897,9.863,"Waverly St, Framingham"
64,42.27221,-71.42897,9.863,42.27430,-71.42491,10.27,"Waverly St, Framingham"
65,42.27430,-71.42491,10.27,42.27519,-71.42221,10.513,"Waverly St, Framingham"
66,42.27519,-71.42221,10.513,42.27561,-71.42086,10.633,"Waverly St, Framingham"
67,42.27561,-71.42086,10.633,42.27636,-71.41840,10.853,"Waverly St, Framingham"
68,42.27636,-71.41840,10.853,42.27680,-71.41687,10.983,"Waverly St, Framingham"
69,42.27680,-71.41687,10.983,42.27696,-71.41612,11.047,"Waverly St, Framingham"
70,42.27696,-71.41612,11.047,42.27767,-71.41284,11.328,"Waverly St, Framingham"
71,42.27767,-71.41284,11.328,42.27861,-71.40832,11.714,"Waverly St, Framingham"
